,year,runtime,title,genre,actor,actress,director,popularity,premiere,imdb score,language
1,1990,111,Tie Me Up! Tie Me Down!,Comedy,"Banderas, Antonio","Abril, Victoria","Almodóvar, Pedro",68,,,
2,1991,113,High Heels,Comedy,"Bosé, Miguel","Abril, Victoria","Almodóvar, Pedro",68,,,
3,1983,104,"Dead Zone, The",Horror,"Walken, Christopher","Adams, Brooke","Cronenberg, David",79,,,
4,1979,122,Cuba,Action,"Connery, Sean","Adams, Brooke","Lester, Richard",6,,,
5,1978,94,Days of Heaven,Drama,"Gere, Richard","Adams, Brooke","Malick, Terrence",14,,,
6,1983,140,Octopussy,Action,"Moore, Roger","Adams, Maud","Glen, John",68,,,
7,1984,101,Target Eagle,Action,"Connors, Chuck","Adams, Maud","Loma, José Antonio de la",14,,,
8,1989,99,"American Angels: Baptism of Blood, The",Drama,"Bergen, Robert D.","Adams, Trudy","Sebastian, Beverly",28,,,
9,1985,104,Subway,Drama,"Lambert, Christopher","Adjani, Isabelle","Besson, Luc",6,,,
10,1990,149,Camille Claudel,Drama,"Depardieu, Gérard","Adjani, Isabelle","Nuytten, Bruno",32,,,
11,1982,188,Fanny and Alexander,Drama,"Ahlstedt, Börje","Adolphson, Kristina","Bergman, Ingmar",81,,,
12,1982,117,Tragedy of a Ridiculous Man,Drama,"Tognazzi, Ugo","Aimee, Anouk","Bertolucci, Bernardo",17,,,
13,1966,103,A Man & a Woman,Drama,"Trintignant, Jean-Louis","Aimee, Anouk","Lelouch, Claude",46,,,
14,1986,112,A Man & a Woman: Twenty Years Later,Drama,"Trintignant, Jean-Louis","Aimee, Anouk","Lelouch, Claude",49,,,
15,1966,103,Un Hombre y una Mujer,Drama,"Trintignant, Jean-Louis","Aimee, Anouk","Lelouch, Claude",6,,,
16,1985,112,"Official Story, The",Drama,"Alterio, Hector","Aleandro, Norma","Puenzo, Luiz",39,,,
17,1976,150,"Lindbergh Kidnapping Case, The",Drama,"Hopkins, Anthony","Alexander, Denise","Kulik, Buzz",51,,,
18,1929,84,Blackmail,Mystery,"Longden, John","Algood, Sara","Hitchcock, Alfred",2,,,
19,1963,109,Donovan's Reef,Comedy,"Wayne, John","Allen, Elizabeth","Ford, John",62,,,
20,1988,110,Tucker: The Man & His Dream,Drama,"Bridges, Jeff","Allen, Joan","Coppola, Francis Ford",68,,,
21,1988,101,Scrooged,Comedy,"Murray, Bill","Allen, Karen","Donner, Richard",15,,,
22,1981,116,Raiders of the Lost Ark,Action,"Ford, Harrison","Allen, Karen","Spielberg, Steven",8,,,
23,1987,101,"Running Man, The",Science Fiction,"Schwarzenegger, Arnold","Alonso, Maria Conchita","Glaser, Paul Michael",31,,,
24,1991,105,Predator 2,Action,"Glover, Danny","Alonso, Maria Conchita","Hopkins, Stephen",79,,,
25,1988,127,Colors,Drama,"Penn, Sean","Alonso, Maria Conchita","Hopper, Dennis",23,,,
26,1990,97,Zandalee,Drama,"Cage, Nicolas","Anderson, Erika","Pillsbury, Sam",80,,,
27,1988,108,Miles from Home,Drama,"Anderson, Kevin","Anderson, Jo","Sinise, Gary",53,,,
29,1989,88,Final Notice,Mystery,"Gerard, Gil","Anderson, Melody","Stern, Steven Hilliard",88,,,
30,1979,110,Quintet,Drama,"Newman, Paul","Andersson, Bibi","Altman, Robert",19,,,
31,1960,90,"Devil's Eye, The",Drama,"Kulle, Jarl","Andersson, Bibi","Bergman, Ingmar",20,,,
32,1957,91,Wild Strawberries,Drama,"Sjöström, Victor","Andersson, Bibi","Bergman, Ingmar",42,,,
33,1956,96,"Seventh Seal, The",Drama,"Sydow, Max von","Andersson, Bibi","Bergman, Ingmar",62,,,
35,1955,86,Dreams,Drama,"Björnstrand, Gunnar","Andersson, Harriet","Bergman, Ingmar",14,,,
36,1955,95,"Naked Night, The",Drama,"Björnstrand, Gunnar","Andersson, Harriet","Bergman, Ingmar",38,,,
37,1962,91,Through a Glass Darkly,Drama,"Björnstrand, Gunnar","Andersson, Harriet","Bergman, Ingmar",64,,,
38,1972,91,Cries & Whispers,Drama,"Josephson, Erland","Andersson, Harriet","Bergman, Ingmar",18,,,
39,1958,104,"Barbarian & the Geisha, The",Action,"Wayne, John","Ando, Eiko","Huston, John",52,,,
40,1967,130,Casino Royale,Comedy,"Niven, David","Andress, Ursula","Hughes, Ken",11,,,
43,1979,121,Ten,Comedy,"Moore, Dudley","Andrews, Julie","Edwards, Blake",60,,,
44,1983,118,"Man Who Loved Women, The",Comedy,"Reynolds, Burt","Andrews, Julie","Edwards, Blake",67,,,
45,1966,190,Hawaii,Drama,"Sydow, Max von","Andrews, Julie","Hill, George Roy",8,,,
46,1966,125,Torn Curtain,Mystery,"Newman, Paul","Andrews, Julie","Hitchcock, Alfred",35,,,
47,1986,107,Duet for One,Drama,"Bates, Alan","Andrews, Julie","Konchalovsky, Andrei",82,,,
48,1965,172,"Sound of Music, The",Music,"Plummer, Christopher","Andrews, Julie","Wise, Robert",59,,,
50,1984,140,Tartuffe,Comedy,"Depardieu, Gérard","Annen, Paule","Depardieu, Gérard",67,,,
51,1988,104,A New Life,Comedy,"Alda, Alan",Ann-Margret,"Alda, Alan",53,,,
52,1978,106,Magic,Mystery,"Hopkins, Anthony",Ann-Margret,"Attenborough, Richard",85,,,
53,1992,286,Tommy,Music,"Daltry, Roger",Ann-Margret,"Russell, Ken",5,,,
54,1978,108,"Big Fix, The",Mystery,"Dreyfuss, Richard","Anspach, Susan","Kagan, Jeremy Paul",19,,,
55,1992,95,Alan & Naomi,Drama,"Haas, Lukas","Aquino, Vanessa","Vanwagenen, Sterling",3,,,
56,1987,120,Fatal Attraction,Mystery,"Douglas, Michael","Archer, Anne","Lyne, Adrian",61,,,
57,1992,117,Patriot Games,Action,"Ford, Harrison","Archer, Anne","Noyce, Phillip",28,,,
58,1981,106,"Woman Next Door, The",Drama,"Depardieu, Gérard","Ardant, Fanny","Truffaut, François",82,,,
59,1992,97,Hunting,Mystery,"Savage, John","Armstrong, Kerry","Howson, Frank",68,,,
61,1924,110,"Siegfried, The Nibelungenlied",Drama,"Richter, Paul","Arnold, Gertrud","Lang, Fritz",79,,,
63,1988,118,"Big Blue, The",Drama,"Barr, Jean-Marc","Arquette, Rosanna","Besson, Luc",7,,,
64,1991,115,Flight of the Intruder,Drama,"Glover, Danny","Arquette, Rosanna","Milius, John",51,,,
65,1986,108,Nobody's Fool,Comedy,"Roberts, Eric","Arquette, Rosanna","Purcell, Evelyn",52,,,
66,1985,97,After Hours,Comedy,"Dunne, Griffin","Arquette, Rosanna","Scorsese, Martin",81,,,
67,1985,104,Desperately Seeking Susan,Comedy,"Quinn, Aidan","Arquette, Rosanna","Seidelman, Susan",41,,,
68,1971,102,A New Leaf,Comedy,"Matthau, Walter","Arrick, Rose","May, Elaine",83,,,
69,1959,91,Killers of Kilimanjaro,Action,"Taylor, Robert","Aslan, Gregoire","Thorpe, Richard",11,,,
70,1926,126,Don Juan,Action,"Barrymore, John","Astor, Mary","Crosland, Alan",55,,,
71,1987,102,Babette's Feast,Drama,"LaFont, Jean-Philippe","Audran, Stéphane","Axel, Gabriel",79,,,
73,1988,141,Thunderball,Action,"Connery, Sean","Auger, Claudine","Young, Terrence",8,,,
74,1926,66,Lodger (Story of the London Fog),Mystery,"Chesney, Arthur","Ault, Marie","Hitchcock, Alfred",76,,,
75,1988,103,Appointment with Death,Mystery,"Ustinov, Peter","Bacall, Lauren","Donaggio, Michael Winner",75,,,
76,1974,128,Murder on the Orient Express,Mystery,"Balsam, Martin","Bacall, Lauren","Lumet, Sidney",8,,,
78,1977,136,"Spy Who Loved Me, The",Action,"Moore, Roger","Bach, Barbara","Gilbert, Lewis",27,,,
79,1988,100,Storm,Action,"Palfy, David","Bahtia, Stacy Christensen","Winning, David",61,,,
81,1989,103,Miami Cops,Action,"Roundtree, Richard","Baker, Dawn","Bradley, Al",40,,,
82,1996,96,"Island of Dr. Moreau, The",Horror,"Thewlis, David","Balk, Fairuza","Frankenheimer, John",39,,,
83,1992,100,Eighty-Four Charing Cross Road,Drama,"Hopkins, Anthony","Bancroft, Anne","Jones, David",9,,,
84,1980,124,"Elephant Man, The",Drama,"Hopkins, Anthony","Bancroft, Anne","Lynch, David",3,,,
85,1988,90,Dr Alien,Science Fiction,"Jacoby, Billy","Barash, Olivia","DeCoteau, David",70,,,
86,1982,120,Creepshow,Horror,"Holbrook, Hal","Barbeau, Adrienne","Romero, George A.",70,,,
87,1987,100,Sammy & Rosie Get Laid,Drama,"Din, Ayub Khan","Barber, Frances","Frears, Stephen",6,,,
88,1971,101,"Goalie's Anxiety at the Penalty Kick, The",Drama,"Brauss, Arthur","Bardischewski, Maria","Wenders, Wim",62,,,
89,1957,99,Mademoiselle Striptease,Comedy,"Gelin, Daniel","Bardot, Brigitte","Allegret, Marc",25,,,
90,1969,86,"Women, The",Drama,"Ronet, Maurice","Bardot, Brigitte","Aurel, Jean",66,,,
91,1958,77,That Naughty Girl,Comedy,"Bretonniere, Jean","Bardot, Brigitte","Boisrond, Michel",37,,,
92,1959,90,Voulez-Vous Danser Avec Moi?,Comedy,"Vidal, Henri","Bardot, Brigitte","Boisrond, Michel",16,,,
93,1967,100,"A Coeur Joie, (Head Over Heels)",Action,"Terzieff, Laurent","Bardot, Brigitte","Bourguignon, Serge",54,,,
95,1964,102,Contempt,Drama,"Palance, Jack","Bardot, Brigitte","Godard, Jean-Luc",81,,,
96,1965,100,Dear Brigitte,Comedy,"Mumy, Billy","Bardot, Brigitte","Koster, Henry",71,,,
97,1962,134,A Very Private Affair,Drama,"Mastroianni, Marcello","Bardot, Brigitte","Malle, Louis",30,,,
98,1964,99,"Ravishing Idiot, The",Comedy,"Perkins, Anthony","Bardot, Brigitte","Molinaro, Edouard",34,,,
99,1958,90,"Bride Is Much Too Beautiful, The",Comedy,"Jourdan, Louis","Bardot, Brigitte","Surin, Fred",70,,,
100,1955,90,Doctor at Sea,Comedy,"Bogarde, Dirk","Bardot, Brigitte","Thomas, Ralph",83,,,
102,1957,90,And God Created Woman,Drama,"Jurgens, Curt","Bardot, Brigitte","Vadim, Roger",29,,,
103,1973,87,Ms. Don Juan,Drama,"Ronet, Maurice","Bardot, Brigitte","Vadim, Roger",39,,,
104,1987,97,Siesta,Drama,"Byrne, Gabriel","Barkin, Ellen","Lambert, Mary",48,,,
